,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,WicketTaker
I Sharma,9.0,38.886792452830186,7.427027027027027,0.7627118644067796,0.3050847457627119,31.41509433962264
CA Pujara,22.941176470588236,0.0,0.0,0.967741935483871,0.5558312655086849,0.0
UT Yadav,13.428571428571429,28.747252747252748,7.720609936055091,0.9894736842105263,0.5263157894736842,22.34065934065934
SA Asnodkar,30.214285714285715,0.0,0.0,1.2017045454545454,0.8068181818181818,0.0
DA Warner,43.26086956521739,0.0,0.0,1.3829047949965254,0.8811674774148714,0.0
S Aravind,19.666666666666668,22.377777777777776,7.66751269035533,1.0,0.4745762711864407,17.511111111111113
Washington Sundar,9.0,22.875,6.032967032967033,0.75,0.0,22.75
Shakib Al Hasan,23.80952380952381,24.976190476190474,6.819068255687974,1.2468827930174564,0.6633416458852868,21.976190476190474
RS Bopara,33.125,25.09090909090909,7.774647887323944,1.1521739130434783,0.5478260869565217,19.363636363636363
AF Milne,3.5,41.5,8.660869565217391,0.5833333333333334,0.0,28.75
JC Buttler,26.4,0.0,0.0,1.408,0.9493333333333334,0.0
JJ Bumrah,25.0,30.34090909090909,7.570888468809073,0.9259259259259259,0.37037037037037035,24.045454545454547
IC Pandey,0.0,32.44444444444444,7.471215351812367,0.0,0.0,26.055555555555557
ST Jayasuriya,28.444444444444443,28.846153846153847,7.475083056478406,1.3403141361256545,0.9947643979057592,23.153846153846153
MC Juneja,21.6,0.0,0.0,0.9310344827586207,0.3620689655172414,0.0
PSP Handscomb,6.0,0.0,0.0,0.5,0.0,0.0
CA Lynn,42.666666666666664,0.0,0.0,1.476923076923077,1.0076923076923077,0.0
BAW Mendis,1.5,46.166666666666664,7.452914798206278,0.5,0.0,37.166666666666664
K Upadhyay,12.0,79.0,8.464285714285714,1.3333333333333333,0.6666666666666666,56.0
Sohail Tanvir,12.0,11.181818181818182,5.569811320754717,1.1612903225806452,0.5806451612903226,12.045454545454545
Jaskaran Singh,8.0,27.0,8.756756756756756,0.7272727272727273,0.0,18.5
NJ Rimmington,1.0,19.0,6.333333333333333,1.0,0.0,18.0
YA Abdulla,0.0,19.6,7.945945945945946,0.0,0.0,14.8
Bipul Sharma,37.4,32.76470588235294,7.665137614678899,1.5080645161290323,0.7903225806451613,25.647058823529413
CK Langeveldt,4.0,13.692307692307692,6.472727272727273,0.8888888888888888,0.6666666666666666,12.692307692307692
V Pratap Singh,0.0,28.9,8.218009478672986,0.0,0.0,21.1
R Ninan,3.0,21.666666666666668,10.833333333333334,0.5,0.0,12.0
PV Tambe,18.0,28.392857142857142,7.271341463414634,0.46153846153846156,0.10256410256410256,23.428571428571427
Yashpal Singh,11.75,0.0,0.0,0.7014925373134329,0.29850746268656714,0.0
CM Gautam,18.77777777777778,0.0,0.0,1.0696202531645569,0.6582278481012658,0.0
KC Sangakkara,26.967741935483872,0.0,0.0,1.1875,0.6633522727272727,0.0
Y Venugopal Rao,29.848484848484848,54.833333333333336,8.891891891891891,1.1400462962962963,0.6134259259259259,37.0
CR Woakes,15.333333333333334,21.88235294117647,8.028776978417266,0.9787234042553191,0.46808510638297873,16.352941176470587
J Suchith,48.0,35.9,8.513833992094861,1.4545454545454546,0.8484848484848485,25.3
JR Hopes,27.8,38.5,8.764227642276422,1.3280254777070064,0.8343949044585988,26.357142857142858
AB de Villiers,41.81707317073171,0.0,0.0,1.4560509554140126,0.8721868365180467,0.0
CH Morris,43.9,22.77777777777778,7.082533589251439,1.5963636363636364,0.9818181818181818,19.296296296296298
